check_number,initial_status,indexing_status,is_deleted,page_number,row_number
247088,AR Check Failed,AR Check Failed,0,3,3,
247088,AR Check Failed,AR Check Failed,0,3,4,
247088,AR Check Failed,AR Check Failed,0,3,5,
247088,AR Check Failed,AR Check Failed,0,3,6,
000001639,AR Check Failed,AR Check Failed,0,3,2,
000001639,AR Check Failed,AR Check Failed,0,3,3,
000001639,AR Check Failed,AR Check Failed,0,3,4,
001460,AR Check Failed,AR Check Failed,0,3,3,
001460,AR Check Failed,AR Check Failed,0,3,4,
312044,Customer Master not found,Customer Master not found,0,4,7,
064479,Customer Master not found,Customer Master not found,0,2,3,
064479,Customer Master not found,Customer Master not found,0,2,4,
031732,Customer Master not found,Customer Master not found,0,2,3,
042186,Customer Master not found,Customer Master not found,0,2,3,
075003,Customer Master not found,Customer Master not found,0,2,3,
075003,Customer Master not found,Customer Master not found,0,2,4,
266923,Customer Master not found,Customer Master not found,0,2,5,
266923,Customer Master not found,Customer Master not found,0,2,6,
266923,Customer Master not found,Customer Master not found,0,2,7,
100873,Customer Master not found,Customer Master not found,0,2,3,
149237,Customer Master not found,Customer Master not found,0,2,3,
149237,Customer Master not found,Customer Master not found,0,2,4,
00128780,Customer Master not found,Customer Master not found,0,2,3,
062931,Customer Master not found,Customer Master not found,0,2,3,
417184,Customer Master not found,Customer Master not found,0,2,3,
417184,Customer Master not found,Customer Master not found,0,2,4,
417184,Customer Master not found,Customer Master not found,0,2,5,
417184,Customer Master not found,Customer Master not found,0,2,6,
417184,Customer Master not found,Customer Master not found,0,2,7,
417184,Customer Master not found,Customer Master not found,0,2,8,
008188,Customer Master not found,Customer Master not found,0,2,5,
00030133,Customer Master not found,Customer Master not found,0,2,3,
107504,Customer Master not found,Customer Master not found,0,2,2,
113176,Customer Master not found,Customer Master not found,0,3,4,
00004472,Customer Master not found,Customer Master not found,0,3,3,
028403,Customer Master not found,Customer Master not found,1,2,3,
028403,Customer Master not found,Customer Master not found,0,3,1,
429886,Customer Master not found,Customer Master not found,0,3,2,
010737,Customer Master not found,Customer Master not found,0,3,3,
323074,Customer Master not found,Customer Master not found,0,3,5,
734971,Customer Master not found,Customer Master not found,0,3,2,
734971,Customer Master not found,Customer Master not found,0,3,3,
734971,Customer Master not found,Customer Master not found,0,3,4,
734971,Customer Master not found,Customer Master not found,0,3,5,
1014010182,Customer Master not found,Customer Master not found,0,3,3,
060877,Customer Master not found,Customer Master not found,0,3,2,
106326,Customer Master not found,Customer Master not found,0,3,3,
106326,Customer Master not found,Customer Master not found,0,3,4,
106326,Customer Master not found,Customer Master not found,0,3,5,
106326,Customer Master not found,Customer Master not found,0,3,6,
7169785,Customer Master not found,Customer Master not found,0,3,3,
050938,Customer Master not found,Customer Master not found,0,3,3,
0001062300,Customer Master not found,Customer Master not found,0,3,4,
0001062300,Customer Master not found,Customer Master not found,0,3,5,
0001062300,Customer Master not found,Customer Master not found,0,3,6,
00110154,Customer Master not found,Customer Master not found,0,3,5,
012384,Customer Master not found,Customer Master not found,0,3,5,
012384,Customer Master not found,Customer Master not found,0,3,6,
023468,Customer Master not found,Customer Master not found,0,3,2,
023468,Customer Master not found,Customer Master not found,0,3,3,
00902169,Customer Master not found,Customer Master not found,0,3,6,
019711,Customer Master not found,Customer Master not found,0,3,3,
019711,Customer Master not found,Customer Master not found,0,3,4,
018673,Customer Master not found,Customer Master not found,0,3,4,
018673,Customer Master not found,Customer Master not found,0,3,5,
1028654,Customer Master not found,Customer Master not found,1,2,4,
1028654,Customer Master not found,Customer Master not found,0,3,4,
034807,Customer Master not found,Customer Master not found,0,3,2,
8915,Customer Master not found,Customer Master not found,0,3,4,
8915,Customer Master not found,Customer Master not found,0,3,5,
058000,Customer Master not found,Customer Master not found,0,3,4,
058000,Customer Master not found,Customer Master not found,0,3,5,
058000,Customer Master not found,Customer Master not found,0,3,6,
058000,Customer Master not found,Customer Master not found,0,3,7,
00300513,Customer Master not found,Customer Master not found,0,3,3,
00300513,Customer Master not found,Customer Master not found,0,3,4,
00300513,Customer Master not found,Customer Master not found,0,3,5,
307945,Customer Master not found,Customer Master not found,0,3,7,
307945,Customer Master not found,Customer Master not found,0,3,8,
00008741,Customer Master not found,Customer Master not found,0,3,3,
00008741,Customer Master not found,Customer Master not found,0,3,4,
00008741,Customer Master not found,Customer Master not found,0,3,5,
027980,Customer Master not found,Customer Master not found,0,3,3,
0101328772,Customer Master not found,Customer Master not found,0,3,4,
0101328772,Customer Master not found,Customer Master not found,0,3,5,
0101328772,Customer Master not found,Customer Master not found,0,3,6,
069916,Customer Master not found,Customer Master not found,0,3,4,
03347169,Customer Master not found,Customer Master not found,0,3,8,
03347169,Customer Master not found,Customer Master not found,0,3,9,
03347169,Customer Master not found,Customer Master not found,0,3,10,
03347169,Customer Master not found,Customer Master not found,0,3,11,
054410,Customer Master not found,Customer Master not found,0,3,5,
006002,Customer Master not found,Customer Master not found,0,3,3,
030976,Customer Master not found,Customer Master not found,0,3,3,
016929,Customer Master not found,Customer Master not found,0,3,3,
016929,Customer Master not found,Customer Master not found,0,3,4,
000692949,Customer Master not found,Customer Master not found,0,3,3,
000692949,Customer Master not found,Customer Master not found,0,3,4,
311883,Customer Master not found,Customer Master not found,0,3,2,
0000007896,Customer Master not found,Customer Master not found,0,3,10,
0000007896,Customer Master not found,Customer Master not found,0,3,14,
01621436,Customer Master not found,Customer Master not found,0,3,5,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,4,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,5,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,6,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,7,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,8,
069717,Recognized - Validation Failed,Recognized - Validation Failed,0,3,9,
004535,Recognized - Validation Failed,Recognized - Validation Failed,0,3,2,
004535,Recognized - Validation Failed,Recognized - Validation Failed,0,3,4,
053876,Recognized - Validation Failed,Recognized - Validation Failed,0,3,6,
053876,Recognized - Validation Failed,Recognized - Validation Failed,0,3,7,
053876,Recognized - Validation Failed,Recognized - Validation Failed,0,3,8,
0000353415,Recognized - Validation Failed,Recognized - Validation Failed,0,3,1,
049013,Recognized - Validation Failed,Recognized - Validation Failed,0,3,4,
37252,Recognized - Validation Failed,Recognized - Validation Failed,0,3,4,
37252,Recognized - Validation Failed,Recognized - Validation Failed,0,4,4,
144338,Recognized - Validation Failed,Recognized - Validation Failed,0,3,4,
080560,Recognized - Validation Failed,Recognized - Validation Failed,1,3,2,
